probability.loaded.face	trials.100	trials.200	trials.500	trials.1000
0.17	0.0101	0.0108	0.0099	0.0108
0.18	0.0079	0.013	0.0204	0.0319
0.19	0.0137	0.022	0.0535	0.1231
0.2	0.0244	0.0433	0.1261	0.3334
0.21	0.0363	0.0831	0.2583	0.6066
0.22	0.0542	0.1333	0.442	0.8444
0.23	0.0835	0.2105	0.6439	0.9571
0.24	0.1246	0.3033	0.8104	0.994
0.25	0.1725	0.4319	0.9104	0.9988
0.26	0.2289	0.5451	0.9671	1.0
0.27	0.312	0.6639	0.9902	1.0
0.28	0.3833	0.7637	0.9985	1.0
0.29	0.4683	0.8449	0.9994	1.0
0.3	0.5531	0.9024	1.0	1.0
0.31	0.6299	0.9477	1.0	1.0
0.32	0.7087	0.9713	1.0	1.0
0.33	0.766	0.9833	1.0	1.0
0.34	0.8172	0.9933	1.0	1.0
0.35	0.8701	0.9974	1.0	1.0
0.36	0.9092	0.9975	1.0	1.0
0.37	0.9399	0.9996	1.0	1.0
0.38	0.9577	0.9996	1.0	1.0
0.39	0.9721	0.9999	1.0	1.0
0.4	0.9834	1.0	1.0	1.0
0.41	0.9892	1.0	1.0	1.0
0.42	0.9943	1.0	1.0	1.0
0.43	0.997	1.0	1.0	1.0
0.44	0.9986	1.0	1.0	1.0
0.45	0.9988	1.0	1.0	1.0
0.46	0.9997	1.0	1.0	1.0
0.47	1.0	1.0	1.0	1.0
0.48	0.9998	1.0	1.0	1.0
0.49	0.9999	1.0	1.0	1.0
